seg,t,x,y,z,curvature,climb_rate,climb_angle_deg
0,0.0,-0.398,2.5,0.325,0.4652115190662695,0.9250000000000034,3.1936356281389586
0,0.0067114093959731,-0.5089610338001471,2.4918366190454715,0.33120805369127515,0.478402847006608,0.9250000000000007,3.232739200007091
0,0.0134228187919463,-0.6168298503803484,2.4791112992642623,0.33741610738255035,0.4901833310576088,0.9249999999999972,3.3103649934669486
0,0.0201342281879194,-0.7215381261316492,2.4620145308593,0.34362416107382543,0.5004407942408743,0.9250000000000007,3.387928141689995
0,0.0268456375838926,-0.8230220721844325,2.440734056896316,0.3498322147651007,0.5090973820859809,0.9250000000000043,3.4652812833162434
0,0.0335570469798657,-0.9212223708461316,2.4154548781526364,0.35604026845637576,0.5161117797121088,0.9250000000000007,3.5422693170249056
0,0.0402684563758389,-1.0160841120389466,2.386359257965972,0.362248322147651,0.5214795364790125,0.9249999999999936,3.6187295163021256
0,0.046979865771812,-1.107556729737557,2.353626727083203,0.3684563758389261,0.5252315529302484,0.9250000000000007,3.694491765637137
0,0.0536912751677852,-1.195593938406839,2.317434088509177,0.3746644295302013,0.5274309434226858,0.9250000000000007,3.7693789440038317
0,0.0604026845637583,-1.2801536694395768,2.2779554223554874,0.38087248322147643,0.5281686109855661,0.9250000000000043,3.8432074813199595
0,0.0671140939597315,-1.3611980075941776,2.2353620906892684,0.3870805369127517,0.5275579456199858,0.9250000000000007,3.9157881120352367
0,0.0738255033557047,-1.4386931274323873,2.189822742381984,0.3932885906040269,0.5257290796551475,0.9249999999999972,3.9869268468788857
0,0.0805369127516778,-1.5126092297570044,2.1415033179582137,0.39949664429530196,0.5228231087114638,0.9250000000000007,4.056426178940829
0,0.087248322147651,-1.5829204780495931,2.090567054444445,0.4057046979865772,0.5189866253421827,0.9250000000000007,4.1240865336008055
0,0.0939597315436241,-1.649604934908201,2.03717449021786,0.4119127516778523,0.5143668287349383,0.9250000000000043,4.18970796340025
0,0.1006711409395973,-1.7126444984850686,1.981483469855127,0.41812080536912755,0.5091073822331134,0.9250000000000007,4.253092078939575
0,0.1073825503355704,-1.7720248389243487,1.923649148981186,0.42432885906040263,0.5033451029135928,0.9250000000000007,4.314044195613135
0,0.1140939597315436,-1.827735334799817,1.863823999118041,0.4305369127516778,0.4972074925101546,0.9250000000000007,4.372375663941909
0,0.1208053691275167,-1.8797690095525887,1.802157812533544,0.43674496644295296,0.4908110612269591,0.9250000000000114,4.42790633906918
0,0.1275167785234899,-1.9281224679288331,1.738797707090195,0.44295302013422816,0.4842603566705552,0.92499999999999,4.4804671334000306
0,0.1342281879194631,-1.972795832417486,1.673888131093916,0.44916107382550335,0.4776475879369349,0.9250000000000043,4.529902586232235
0,0.1409395973154362,-2.013792679687965,1.6075708681428509,0.4553691275167785,0.4710527269710049,0.9249999999999972,4.576073376383452
0,0.1476510067114094,-2.051119977027886,1.539985041976151,0.4615771812080537,0.4645439721535824,0.9249999999999972,4.618858699066476
0,0.1543624161073825,-2.084788018780773,1.471267121322762,0.46778523489932883,0.4581784691523091,0.9250000000000043,4.658158427221014
0,0.1610738255033557,-2.114810362783778,1.4015509247502187,0.473993288590604,0.4520031983104118,0.9249999999999972,4.693894980602715
0,0.1677852348993288,-2.141203766805391,1.3309676255134275,0.48020134228187916,0.4460559537869272,0.9249999999999972,4.726014833265285
0,0.174496644295302,-2.1639881249831565,1.2596457564034589,0.48640939597315436,0.4403663555284365,0.9249999999999972,4.754489601439088
0,0.1812080536912751,-2.1831864042613884,1.1877112145963362,0.4926174496644295,0.4349568497906837,0.9250000000000043,4.779316668665018
0,0.1879194630872483,-2.198824580828882,1.115287266501824,0.4988255033557047,0.4298436666938937,0.9250000000000043,4.800519322529052
0,0.1946308724832214,-2.2109315765566304,1.0424945526122174,0.5050335570469798,0.4250377139264757,0.9249999999999972,4.818146396383303
0,0.2013422818791946,-2.2195391954355417,0.969451092351132,0.511241610738255,0.4205453942104397,0.9249999999999972,4.8322714288093565
0,0.2080536912751678,-2.2246820600141426,0.8962722889222884,0.5174496644295302,0.4163693406742645,0.92499999999999,4.842991372044561
0,0.2147651006711409,-2.226397547836308,0.8230709341583086,0.5236577181208053,0.4125090690979486,0.9250000000000043,4.850424897006127
0,0.221476510067114,-2.224725727878965,0.7499572133694995,0.5298657718120805,0.4089615493856249,0.9250000000000114,4.85471035595885
0,0.2281879194630872,-2.2197092969898087,0.677038710192642,0.5360738255033557,0.4057217008649634,0.9249999999999972,4.856003473625187
0,0.2348993288590604,-2.21139351632502,0.6044204114397842,0.5422818791946309,0.4027828173668059,0.9250000000000043,4.85447484325672
0,0.2416107382550335,-2.1998261477869754,0.532204711947025,0.5484899328859061,0.4001369287255767,0.9250000000000043,4.850307305863858
0,0.2483221476510067,-2.185057390461967,0.4604914194233068,0.5546979865771813,0.3977751055455695,0.9250000000000043,4.843693288696948
0,0.2550335570469799,-2.167139817057912,0.3893777592992029,0.5609060402684565,0.3956877139483181,0.9249999999999972,4.834832173690118
0,0.261744966442953,-2.146128310342072,0.3189583795757088,0.5671140939597316,0.3938646266670224,0.9250000000000043,4.823927758607412
